State,Year,Quarter,Transaction Type,Transactions,Amount (INR),ATV (INR)
Gujarat,2020,2,Merchant payments,9645967,7196610932,746.0745959
Gujarat,2020,2,Financial Services,59617,53132341.31,891.2280273
Gujarat,2020,2,Others,173543,92274135.41,531.7076195
Gujarat,2020,3,Peer-to-peer payments,23130724,89142122337,3853.84056
Gujarat,2020,3,Merchant payments,18338969,12749796642,695.2297396
Gujarat,2020,3,Recharge & bill payments,17481357,9820654244,561.7787134
Gujarat,2020,3,Financial Services,92278,84723188.62,918.1298752
Gujarat,2020,3,Others,246851,124456073.2,504.1748798
Gujarat,2020,4,Peer-to-peer payments,29967258,1.16743E+11,3895.69277
Gujarat,2020,4,Merchant payments,28430460,20844321157,733.1686211
Gujarat,2020,4,Recharge & bill payments,18943669,10441981826,551.212219
Gujarat,2020,4,Financial Services,113371,120056733.9,1058.97217
Gujarat,2020,4,Others,373789,243470065.5,651.3569566
Gujarat,2021,1,Peer-to-peer payments,36427493,1.44819E+11,3975.540353
Gujarat,2021,1,Merchant payments,35815382,26512643894,740.258582
Gujarat,2021,1,Recharge & bill payments,22088838,11996115292,543.0849415
Gujarat,2021,1,Financial Services,126380,137612317.7,1088.877336
Gujarat,2021,1,Others,316472,235440836.3,743.9547142
Gujarat,2021,2,Merchant payments,42593432,33542305034,787.4994678
Gujarat,2021,2,Peer-to-peer payments,41642387,1.62484E+11,3901.879302
Gujarat,2021,2,Recharge & bill payments,27127405,13750783182,506.8963722
Gujarat,2021,2,Financial Services,128647,136119996.7,1058.089164
Gujarat,2021,2,Others,349525,249278437.3,713.1920101
Haryana,2018,1,Recharge & bill payments,2368002,535578755.1,226.1732697
Haryana,2018,1,Peer-to-peer payments,1607193,5814807511,3617.98957
Haryana,2018,1,Merchant payments,167816,173513595.4,1033.951443
Haryana,2018,1,Financial Services,128636,27501068.01,213.7898257
Haryana,2018,1,Others,209123,242110585.5,1157.742503
Haryana,2018,2,Recharge & bill payments,3054284,984897276.7,322.4642098
Haryana,2018,2,Peer-to-peer payments,2388953,9745924810,4079.579971
Haryana,2018,2,Merchant payments,369916,334118261.5,903.2273853
Haryana,2018,2,Financial Services,167570,38145882.44,227.6414778
Haryana,2018,2,Others,170208,217328211.7,1276.838995
Haryana,2018,3,Peer-to-peer payments,3753981,14429454356,3843.773945
Haryana,2018,3,Recharge & bill payments,3203386,1310467515,409.088232
Haryana,2018,3,Merchant payments,1003057,427387637.9,426.0850958
Haryana,2018,3,Financial Services,100452,17323790.81,172.4583962
Haryana,2018,3,Others,201148,190505707.5,947.092228
Haryana,2018,4,Peer-to-peer payments,5905032,22416919747,3796.240181
Haryana,2018,4,Recharge & bill payments,4116262,1671040704,405.9607245
Haryana,2018,4,Merchant payments,2413446,1013407380,419.9005819
Haryana,2018,4,Financial Services,120711,22252543.62,184.3456157
Haryana,2018,4,Others,394732,267255642.3,677.0559323
Haryana,2019,1,Peer-to-peer payments,12622225,30283578837,2399.226669
Haryana,2019,1,Recharge & bill payments,5576577,2202061875,394.8769782
Haryana,2019,1,Merchant payments,3361995,1292375556,384.4073404
Haryana,2019,1,Financial Services,101786,15201736,149.3499696
Haryana,2019,1,Others,473192,258437718.2,546.1582574
Haryana,2019,2,Peer-to-peer payments,10387562,37056084814,3567.351493
Haryana,2019,2,Recharge & bill payments,5902923,2838724048,480.9014192
Haryana,2019,2,Merchant payments,5738283,2292901816,399.5797726
Haryana,2019,2,Financial Services,57488,12080285.23,210.1357714
Haryana,2019,2,Others,655560,301748850.2,460.2917356
Haryana,2019,3,Peer-to-peer payments,11775288,43738290120,3714.413619
Haryana,2019,3,Merchant payments,9386779,3615636828,385.1839729
Haryana,2019,3,Recharge & bill payments,8289987,4817098565,581.0743207
Haryana,2019,3,Financial Services,61503,16715100.88,271.7770008
Haryana,2019,3,Others,829974,301378586,363.1181049
Haryana,2019,4,Peer-to-peer payments,15729819,58242027266,3702.650823
Haryana,2019,4,Merchant payments,11615667,5253780278,452.3012134
Haryana,2019,4,Recharge & bill payments,9648003,5637358526,584.3031481
Haryana,2019,4,Financial Services,41688,13756049.14,329.9762316
Haryana,2019,4,Others,790808,212797749.8,269.0890201
Haryana,2020,1,Peer-to-peer payments,17728235,68367245528,3856.404517
Haryana,2020,1,Merchant payments,14327020,7075196609,493.8358856
Haryana,2020,1,Recharge & bill payments,11346112,6331682017,558.0486088
Haryana,2020,1,Financial Services,34488,25266730.19,732.6238166
Haryana,2020,1,Others,600232,176823674.2,294.5922147
Haryana,2020,2,Peer-to-peer payments,17334369,66645492691,3844.70255
Haryana,2020,2,Recharge & bill payments,12740328,6547618492,513.9285654
Haryana,2020,2,Merchant payments,11527654,7393393678,641.3615188
Haryana,2020,2,Financial Services,48759,49209527.29,1009.23988
Haryana,2020,2,Others,129940,75550536.68,581.4263251
Haryana,2020,3,Peer-to-peer payments,24123449,88796356487,3680.914636
Haryana,2020,3,Merchant payments,20845136,12141560867,582.4649389
Haryana,2020,3,Recharge & bill payments,12716319,8452802893,664.7208907
Haryana,2020,3,Financial Services,66457,80854296.93,1216.640789
Haryana,2020,3,Others,186818,96375902.2,515.8812438
Haryana,2020,4,Merchant payments,34063692,21382305452,627.7154412
Haryana,2020,4,Peer-to-peer payments,33920789,1.28614E+11,3791.596161
Haryana,2020,4,Recharge & bill payments,14682896,9675471301,658.9620536
Haryana,2020,4,Financial Services,84881,103265693.8,1216.593746
Haryana,2020,4,Others,419181,223528573.1,533.2507273
Haryana,2021,1,Merchant payments,39363588,23389100227,594.1811053
Haryana,2021,1,Peer-to-peer payments,36764622,1.35971E+11,3698.409759
Haryana,2021,1,Recharge & bill payments,13680353,9260346909,676.9084767
Haryana,2021,1,Financial Services,79784,99672809.99,1249.28319
Haryana,2021,1,Others,364437,218544351.2,599.6766278
Haryana,2021,2,Merchant payments,45335533,29119078264,642.301443
Haryana,2021,2,Peer-to-peer payments,44086559,1.61074E+11,3653.578074
Haryana,2021,2,Recharge & bill payments,15861047,9839496895,620.3560771
Haryana,2021,2,Financial Services,85821,97238136.1,1133.034293
Haryana,2021,2,Others,311896,227855607,730.5499493
Himachal Pradesh,2018,1,Recharge & bill payments,284371,49871175.83,175.3736345
Himachal Pradesh,2018,1,Peer-to-peer payments,154572,546222027.5,3533.770848
Himachal Pradesh,2018,1,Merchant payments,13241,13851230.83,1046.086461
Himachal Pradesh,2018,1,Financial Services,8955,2040522.725,227.8640675
Himachal Pradesh,2018,1,Others,20779,16752849.5,806.2394486
Himachal Pradesh,2018,2,Recharge & bill payments,385642,83714322.41,217.0778142
Himachal Pradesh,2018,2,Peer-to-peer payments,243436,1043702964,4287.381341
Himachal Pradesh,2018,2,Merchant payments,27851,31961300.88,1147.581806
Himachal Pradesh,2018,2,Financial Services,11330,4108919.308,362.6583678
Himachal Pradesh,2018,2,Others,19436,19681794.6,1012.646357
Himachal Pradesh,2018,3,Recharge & bill payments,457449,108456077.5,237.0888941
Himachal Pradesh,2018,3,Peer-to-peer payments,362755,1596570995,4401.237736
Himachal Pradesh,2018,3,Merchant payments,40675,31168155.22,766.2730233
Himachal Pradesh,2018,3,Financial Services,8182,1552275.054,189.7182906
Himachal Pradesh,2018,3,Others,17693,16293930.08,920.9252291
Himachal Pradesh,2018,4,Recharge & bill payments,598325,143031082.4,239.0524923
Himachal Pradesh,2018,4,Peer-to-peer payments,590518,2367228879,4008.732807
Himachal Pradesh,2018,4,Merchant payments,86963,87575811.8,1007.046811
Himachal Pradesh,2018,4,Financial Services,11834,2283052.791,192.9231698
Himachal Pradesh,2018,4,Others,20243,21180141.66,1046.294604
Himachal Pradesh,2019,1,Peer-to-peer payments,1178280,3066233588,2602.296218
Himachal Pradesh,2019,1,Recharge & bill payments,844570,209521987,248.0812568
Himachal Pradesh,2019,1,Merchant payments,115553,86624660.31,749.6530623
Himachal Pradesh,2019,1,Financial Services,9585,1424229.999,148.5894626
Himachal Pradesh,2019,1,Others,20730,17676977.72,852.7244437
Himachal Pradesh,2019,2,Peer-to-peer payments,1141873,4428007671,3877.846022
Himachal Pradesh,2019,2,Recharge & bill payments,1076793,279864580,259.9056457
Himachal Pradesh,2019,2,Merchant payments,248517,141088575.9,567.7220306
Himachal Pradesh,2019,2,Financial Services,5013,1453651.535,289.9763685
Himachal Pradesh,2019,2,Others,30110,25469495.27,845.8816097
Himachal Pradesh,2019,3,Recharge & bill payments,1212659,327570067,270.1254574
Himachal Pradesh,2019,3,Peer-to-peer payments,1181680,5039276845,4264.502103
Himachal Pradesh,2019,3,Merchant payments,312575,182746198.2,584.6475187
Himachal Pradesh,2019,3,Financial Services,3096,1775673.971,573.5381044
Himachal Pradesh,2019,3,Others,25170,20649996.7,820.421005
Himachal Pradesh,2019,4,Peer-to-peer payments,1579582,6533855301,4136.445782
Himachal Pradesh,2019,4,Recharge & bill payments,1442940,402619115,279.0269277
Himachal Pradesh,2019,4,Merchant payments,467309,314965060.6,673.9974206
Himachal Pradesh,2019,4,Financial Services,4576,1769641.967,386.7224577
Himachal Pradesh,2019,4,Others,22239,17954418.58,807.339295
Himachal Pradesh,2020,1,Recharge & bill payments,1815157,542356757,298.7933038
Himachal Pradesh,2020,1,Peer-to-peer payments,1594806,6431826925,4032.983902
Himachal Pradesh,2020,1,Merchant payments,711018,427497010.1,601.2463962
Himachal Pradesh,2020,1,Financial Services,4711,3172303.69,673.382231
Himachal Pradesh,2020,1,Others,18788,14613755.24,777.8238898
Himachal Pradesh,2020,2,Recharge & bill payments,2558935,802231470.2,313.5020898
Himachal Pradesh,2020,2,Peer-to-peer payments,1544488,6738488219,4362.926885
Himachal Pradesh,2020,2,Merchant payments,570031,479165630.6,840.5957406
Himachal Pradesh,2020,2,Financial Services,7634,7359757.738,964.0762035
Himachal Pradesh,2020,2,Others,14642,9659685.393,659.7244497
Himachal Pradesh,2020,3,Recharge & bill payments,2416395,834567922.3,345.3772758
Himachal Pradesh,2020,3,Peer-to-peer payments,1954492,8806586537,4505.818666
Himachal Pradesh,2020,3,Merchant payments,1090445,851539467.3,780.9100572
Himachal Pradesh,2020,3,Financial Services,9543,11391079.29,1193.658104
Himachal Pradesh,2020,3,Others,19001,11969008.53,629.9146638
Himachal Pradesh,2020,4,Recharge & bill payments,2638030,936305777.7,354.9261296
Himachal Pradesh,2020,4,Peer-to-peer payments,2594659,11426268857,4403.765141
Himachal Pradesh,2020,4,Merchant payments,2001259,1589433440,794.2167607
Himachal Pradesh,2020,4,Financial Services,11353,15534252.22,1368.294919
Himachal Pradesh,2020,4,Others,27027,21510781.37,795.8997067
Himachal Pradesh,2021,1,Peer-to-peer payments,2845733,11358078844,3991.266519
Himachal Pradesh,2021,1,Recharge & bill payments,2547359,948929031.6,372.5148405
Himachal Pradesh,2021,1,Merchant payments,2186946,1778219851,813.1064282
Himachal Pradesh,2021,1,Financial Services,12561,16554205.5,1317.905064
Himachal Pradesh,2021,1,Others,21430,18764977.93,875.6405941
Himachal Pradesh,2021,2,Peer-to-peer payments,3340531,13035543547,3902.236964
Himachal Pradesh,2021,2,Recharge & bill payments,3216602,1045789842,325.1225492
Himachal Pradesh,2021,2,Merchant payments,2883209,2378084375,824.8047142
Himachal Pradesh,2021,2,Financial Services,14642,16428390.62,1122.00455
Himachal Pradesh,2021,2,Others,28918,19788385.41,684.2930149
Jammu & Kashmir,2018,1,Recharge & bill payments,457813,78812610.35,172.1502237
Jammu & Kashmir,2018,1,Peer-to-peer payments,353621,861670157.9,2436.70528
Jammu & Kashmir,2018,1,Financial Services,65683,10269382.62,156.3476489
Jammu & Kashmir,2018,1,Merchant payments,28696,30967525.64,1079.158267
Jammu & Kashmir,2018,1,Others,35755,23651562.72,661.4896578
Jammu & Kashmir,2018,2,Recharge & bill payments,794502,166762242.9,209.8953092
Jammu & Kashmir,2018,2,Peer-to-peer payments,771844,2372961688,3074.405822
Jammu & Kashmir,2018,2,Financial Services,112422,15636116.81,139.0841367
Jammu & Kashmir,2018,2,Merchant payments,79248,64454257.53,813.3234596
Jammu & Kashmir,2018,2,Others,38310,31391931.69,819.4187338
Jammu & Kashmir,2018,3,Peer-to-peer payments,1260453,3616022746,2868.82791
Jammu & Kashmir,2018,3,Recharge & bill payments,822143,203079955.3,247.0129349
Jammu & Kashmir,2018,3,Merchant payments,140076,82826475.19,591.2966903
