State,Year,Quarter,Transaction Type,Transactions,Amount (INR),ATV (INR)
Jharkhand,2018,1,Recharge & bill payments,1095857,132181815.3,120.6195838
Jharkhand,2018,1,Peer-to-peer payments,809459,2036315436,2515.649879
Jharkhand,2018,1,Financial Services,107755,45483178.1,422.0980753
Jharkhand,2018,1,Merchant payments,66299,66465337.51,1002.508899
Jharkhand,2018,1,Others,99551,93740623.36,941.6341711
Jharkhand,2018,2,Recharge & bill payments,1398777,208894647.8,149.3409227
Jharkhand,2018,2,Peer-to-peer payments,1375872,4205862517,3056.870491
Jharkhand,2018,2,Financial Services,160637,65554548.25,408.0912134
Jharkhand,2018,2,Merchant payments,130339,138889079.2,1065.598778
Jharkhand,2018,2,Others,86455,102374867.1,1184.140502
Jharkhand,2018,3,Peer-to-peer payments,6003688,8142915751,1356.318941
Jharkhand,2018,3,Recharge & bill payments,1539476,256930062.2,166.8944902
Jharkhand,2018,3,Merchant payments,287427,155059935,539.4758845
Jharkhand,2018,3,Financial Services,216343,38182603.58,176.4910516
Jharkhand,2018,3,Others,75687,68483065.68,904.8193967
Jharkhand,2018,4,Peer-to-peer payments,3325473,9414019817,2830.881447
Jharkhand,2018,4,Recharge & bill payments,1885135,328077093.5,174.0337395
Jharkhand,2018,4,Merchant payments,845956,373435992.5,441.4366616
Jharkhand,2018,4,Financial Services,136918,36357465.52,265.5418975
Jharkhand,2018,4,Others,90561,90026272.84,994.0953925
Jharkhand,2019,1,Peer-to-peer payments,5952105,12664709652,2127.769865
Jharkhand,2019,1,Recharge & bill payments,2347079,440323945.1,187.6050806
Jharkhand,2019,1,Merchant payments,892826,391616776.1,438.6260885
Jharkhand,2019,1,Financial Services,105558,47227410.81,447.4072151
Jharkhand,2019,1,Others,90140,83358664.95,924.768859
Jharkhand,2019,2,Peer-to-peer payments,5155937,17044444614,3305.78993
Jharkhand,2019,2,Recharge & bill payments,2734377,562210324.8,205.608197
Jharkhand,2019,2,Merchant payments,2049311,862186711.5,420.7202867
Jharkhand,2019,2,Financial Services,67479,51588987.16,764.5191417
Jharkhand,2019,2,Others,121107,102270668.2,844.4653756
Jharkhand,2019,3,Peer-to-peer payments,5708187,19050145624,3337.337341
Jharkhand,2019,3,Merchant payments,4766457,1494546031,313.5549174
Jharkhand,2019,3,Recharge & bill payments,3527625,754845093.6,213.9811045
Jharkhand,2019,3,Financial Services,103620,80276391.65,774.7190856
Jharkhand,2019,3,Others,114758,86160853.19,750.8047647
Jharkhand,2019,4,Peer-to-peer payments,10301226,25360155657,2461.858002
Jharkhand,2019,4,Recharge & bill payments,4390094,966539484.6,220.1637333
Jharkhand,2019,4,Merchant payments,3359590,1725990596,513.750367
Jharkhand,2019,4,Financial Services,104630,45850806.13,438.2185427
Jharkhand,2019,4,Others,93078,49211833.16,528.7160571
Jharkhand,2020,1,Peer-to-peer payments,8196850,29875044416,3644.698197
Jharkhand,2020,1,Recharge & bill payments,5454093,1358517297,249.0821658
Jharkhand,2020,1,Merchant payments,4499942,2298726415,510.8346762
Jharkhand,2020,1,Financial Services,46483,31523887.51,678.1810019
Jharkhand,2020,1,Others,85345,47420137.75,555.6287744
Jharkhand,2020,2,Peer-to-peer payments,8724053,32662370317,3743.944508
Jharkhand,2020,2,Recharge & bill payments,7538593,1987320467,263.6195464
Jharkhand,2020,2,Merchant payments,3753633,2662438204,709.2963548
Jharkhand,2020,2,Financial Services,56553,130249402,2303.138684
Jharkhand,2020,2,Others,68679,43823586.28,638.0929583
Jharkhand,2020,3,Peer-to-peer payments,11984094,43128110246,3598.779369
Jharkhand,2020,3,Merchant payments,7728846,5163578368,668.0917653
Jharkhand,2020,3,Recharge & bill payments,7211293,2217657035,307.5255762
Jharkhand,2020,3,Financial Services,56918,63233533.19,1110.958452
Jharkhand,2020,3,Others,87322,50036637.65,573.0129596
Jharkhand,2020,4,Peer-to-peer payments,17120664,60733288288,3547.367572
Jharkhand,2020,4,Merchant payments,14168381,9347677564,659.7562251
Jharkhand,2020,4,Recharge & bill payments,7945996,2582828439,325.0477899
Jharkhand,2020,4,Financial Services,60989,63947540,1048.509403
Jharkhand,2020,4,Others,135603,77432999.36,571.0271849
Jharkhand,2021,1,Peer-to-peer payments,19151083,69198235577,3613.280543
Jharkhand,2021,1,Merchant payments,17489113,11545580927,660.1581754
Jharkhand,2021,1,Recharge & bill payments,7826608,2888409672,369.0499987
Jharkhand,2021,1,Financial Services,50526,54836609.33,1085.314676
Jharkhand,2021,1,Others,104333,62290337.7,597.0338982
Jharkhand,2021,2,Peer-to-peer payments,24184568,86037113965,3557.521225
Jharkhand,2021,2,Merchant payments,19041292,14731458451,773.6585549
Jharkhand,2021,2,Recharge & bill payments,10583445,3531023352,333.6364816
Jharkhand,2021,2,Financial Services,54379,57959229.95,1065.838466
Jharkhand,2021,2,Others,138461,75088312.27,542.3065864
Karnataka,2018,1,Recharge & bill payments,5785292,1496816542,258.7279159
Karnataka,2018,1,Peer-to-peer payments,4456528,16522277460,3707.432661
Karnataka,2018,1,Merchant payments,1089627,696586489.3,639.2889395
Karnataka,2018,1,Financial Services,159848,52664837.41,329.4682286
Karnataka,2018,1,Others,525604,449549985.2,855.3016819
Karnataka,2018,2,Recharge & bill payments,7391926,2435924808,329.5385814
Karnataka,2018,2,Peer-to-peer payments,7164836,29135024501,4066.390982
Karnataka,2018,2,Merchant payments,1874383,1361967205,726.6216162
Karnataka,2018,2,Financial Services,194363,93244737.61,479.7453096
Karnataka,2018,2,Others,490939,489418829.4,996.9035448
Karnataka,2018,3,Peer-to-peer payments,12863507,42819128165,3328.728951
Karnataka,2018,3,Recharge & bill payments,8674172,3019156590,348.0627996
Karnataka,2018,3,Merchant payments,3638065,1879406581,516.5951077
Karnataka,2018,3,Financial Services,205740,50726023.4,246.5540167
Karnataka,2018,3,Others,598777,456674396.3,762.678587
Karnataka,2018,4,Peer-to-peer payments,20471744,63575342228,3105.516669
Karnataka,2018,4,Merchant payments,11812478,4751317555,402.2286903
Karnataka,2018,4,Recharge & bill payments,11426205,4030978295,352.7836491
Karnataka,2018,4,Financial Services,289353,71134704.79,245.8405643
Karnataka,2018,4,Others,812291,579613793.3,713.5543707
Karnataka,2019,1,Peer-to-peer payments,44049036,1.04118E+11,2363.693879
Karnataka,2019,1,Merchant payments,24491960,7076613844,288.9361996
Karnataka,2019,1,Recharge & bill payments,16981941,6217689430,366.1353805
Karnataka,2019,1,Financial Services,293728,51023386.15,173.7096434
Karnataka,2019,1,Others,770944,512618725.8,664.923426
Karnataka,2019,2,Peer-to-peer payments,50033334,1.42911E+11,2856.30988
Karnataka,2019,2,Merchant payments,44848593,12338599109,275.1167491
Karnataka,2019,2,Recharge & bill payments,19283028,7745156563,401.656657
Karnataka,2019,2,Financial Services,140353,44871623.83,319.7054842
Karnataka,2019,2,Others,1096296,662690676.7,604.4815239
Karnataka,2019,3,Merchant payments,76924325,20375791902,264.880997
Karnataka,2019,3,Peer-to-peer payments,67784880,1.83163E+11,2702.126567
Karnataka,2019,3,Recharge & bill payments,24339891,10208179942,419.4012184
Karnataka,2019,3,Financial Services,189716,57194690.69,301.4753141
Karnataka,2019,3,Others,1494923,732228821.1,489.8103923
Karnataka,2019,4,Merchant payments,114044901,31602890836,277.1091961
Karnataka,2019,4,Peer-to-peer payments,93311589,2.50563E+11,2685.227709
Karnataka,2019,4,Recharge & bill payments,28862161,12183568521,422.1294629
Karnataka,2019,4,Financial Services,101937,51145982.18,501.7410968
Karnataka,2019,4,Others,1475664,646673755.4,438.2256092
Karnataka,2020,1,Merchant payments,132970737,40374401934,303.6337381
Karnataka,2020,1,Peer-to-peer payments,100868460,2.97635E+11,2950.727131
Karnataka,2020,1,Recharge & bill payments,35854971,14724886028,410.6790667
Karnataka,2020,1,Financial Services,93648,110130184.7,1176.00146
Karnataka,2020,1,Others,1246074,557335296.8,447.2730326
Karnataka,2020,2,Merchant payments,87251639,38463881234,440.8384951
Karnataka,2020,2,Peer-to-peer payments,82118363,2.65767E+11,3236.391932
Karnataka,2020,2,Recharge & bill payments,43290272,16434890228,379.6439585
Karnataka,2020,2,Financial Services,161560,246367207.1,1524.927006
Karnataka,2020,2,Others,399878,192530880.2,481.47405
Karnataka,2020,3,Merchant payments,137206600,60769881812,442.9078617
Karnataka,2020,3,Peer-to-peer payments,119241776,3.90432E+11,3274.291846
Karnataka,2020,3,Recharge & bill payments,43139631,18911088811,438.369276
Karnataka,2020,3,Financial Services,251980,358426106,1422.438709
Karnataka,2020,3,Others,520544,268744139.7,516.2755496
Karnataka,2020,4,Merchant payments,215711211,97147239183,450.3578592
Karnataka,2020,4,Peer-to-peer payments,166981242,5.38341E+11,3223.960676
Karnataka,2020,4,Recharge & bill payments,47736461,21611671359,452.7288137
Karnataka,2020,4,Financial Services,284700,427966918.9,1503.22065
Karnataka,2020,4,Others,823370,508863332.4,618.0251071
Karnataka,2021,1,Merchant payments,279599017,1.1796E+11,421.8887891
Karnataka,2021,1,Peer-to-peer payments,190894164,6.10937E+11,3200.396439
Karnataka,2021,1,Recharge & bill payments,52261651,25111731676,480.5001602
Karnataka,2021,1,Financial Services,297710,475815041.8,1598.250115
Karnataka,2021,1,Others,744950,511117233.2,686.1094479
Karnataka,2021,2,Merchant payments,244460862,1.24624E+11,509.7929252
Karnataka,2021,2,Peer-to-peer payments,216539959,6.84036E+11,3158.935429
Karnataka,2021,2,Recharge & bill payments,68599238,28272314719,412.1374456
Karnataka,2021,2,Financial Services,304779,456933674,1499.22952
Karnataka,2021,2,Others,744208,497736717.5,668.8139841
Kerala,2018,1,Recharge & bill payments,988774,157311821.4,159.0978539
Kerala,2018,1,Peer-to-peer payments,600205,2107288314,3510.947617
Kerala,2018,1,Merchant payments,72164,82919383.05,1149.040838
Kerala,2018,1,Financial Services,40170,7957491.902,198.0953921
Kerala,2018,1,Others,70067,47197742.47,673.6087241
Kerala,2018,2,Recharge & bill payments,1230869,248080143.3,201.5487783
Kerala,2018,2,Peer-to-peer payments,848291,3436199589,4050.732106
Kerala,2018,2,Merchant payments,131217,144501582,1101.241318
Kerala,2018,2,Financial Services,41100,12355589.34,300.6226118
Kerala,2018,2,Others,56688,45786439.72,807.6919228
Kerala,2018,3,Peer-to-peer payments,1425259,4823239268,3384.114233
Kerala,2018,3,Recharge & bill payments,1407588,296352497.3,210.5392326
Kerala,2018,3,Merchant payments,210974,160705488.6,761.7312494
Kerala,2018,3,Financial Services,37286,6170643.388,165.4949147
Kerala,2018,3,Others,53241,36557326.26,686.6386106
Kerala,2018,4,Peer-to-peer payments,2073960,6959805155,3355.804912
Kerala,2018,4,Recharge & bill payments,1679897,351296525.3,209.1178955
Kerala,2018,4,Merchant payments,417114,378857199.6,908.2821474
Kerala,2018,4,Financial Services,75084,10063656.73,134.0319739
Kerala,2018,4,Others,64599,47338700.57,732.8085662
Kerala,2019,1,Peer-to-peer payments,3601116,9314451112,2586.545702
Kerala,2019,1,Recharge & bill payments,2180915,498453895.9,228.5526469
Kerala,2019,1,Merchant payments,550707,371997848.2,675.4914105
Kerala,2019,1,Financial Services,77652,7808573.898,100.5585677
Kerala,2019,1,Others,58649,42319704.72,721.5758959
Kerala,2019,2,Peer-to-peer payments,3519528,11630623424,3304.597498
Kerala,2019,2,Recharge & bill payments,2711299,768892057.8,283.5880727
Kerala,2019,2,Merchant payments,937130,569545843,607.7554267
Kerala,2019,2,Financial Services,38869,5823291.623,149.818406
Kerala,2019,2,Others,77000,56486944.63,733.5966835
Kerala,2019,3,Peer-to-peer payments,4181954,14433990011,3451.494209
Kerala,2019,3,Recharge & bill payments,3431236,1051007778,306.3058846
Kerala,2019,3,Merchant payments,1497029,879510566.1,587.504027
Kerala,2019,3,Financial Services,96130,8910528.723,92.69248646
Kerala,2019,3,Others,79747,56390837.6,707.1217425
Kerala,2019,4,Peer-to-peer payments,5859068,18537483865,3163.896351
Kerala,2019,4,Recharge & bill payments,4097032,1287955352,314.3630198
Kerala,2019,4,Merchant payments,2418428,1268704040,524.5986402
Kerala,2019,4,Financial Services,50728,10816332.76,213.2221408
Kerala,2019,4,Others,73381,46367047.83,631.8672113
Kerala,2020,1,Peer-to-peer payments,6634439,22862907702,3446.095096
Kerala,2020,1,Recharge & bill payments,5507580,1716538277,311.668333
Kerala,2020,1,Merchant payments,3485036,1810329140,519.4578019
Kerala,2020,1,Financial Services,38050,17160614.59,451.0016976
Kerala,2020,1,Others,68417,44149097.18,645.294257
Kerala,2020,2,Recharge & bill payments,7709714,2452435029,318.0967581
Kerala,2020,2,Peer-to-peer payments,5603046,21309983655,3803.285508
Kerala,2020,2,Merchant payments,2888260,2075701451,718.6684895
Kerala,2020,2,Financial Services,40501,32921115.85,812.8469876
Kerala,2020,2,Others,46446,23037227.73,496.0002525
Kerala,2020,3,Peer-to-peer payments,8590587,33346812214,3881.785053
Kerala,2020,3,Recharge & bill payments,7932950,2688361345,338.8854518
Kerala,2020,3,Merchant payments,5065205,4016995194,793.0567852
Kerala,2020,3,Financial Services,94130,76828720.82,816.1980328
Kerala,2020,3,Others,75808,35153178.52,463.7133089
Kerala,2020,4,Peer-to-peer payments,12941135,45686395928,3530.323726
Kerala,2020,4,Merchant payments,10990709,7695667407,700.1975402
Kerala,2020,4,Recharge & bill payments,9167428,3238199948,353.2288388
Kerala,2020,4,Financial Services,73833,69202344.44,937.2820343
Kerala,2020,4,Others,115082,65791020.58,571.6881926
Kerala,2021,1,Peer-to-peer payments,16209203,55336812493,3413.913225
Kerala,2021,1,Merchant payments,16105923,10058436408,624.5178502
Kerala,2021,1,Recharge & bill payments,9837385,3732534739,379.4234686
Kerala,2021,1,Financial Services,68012,69655547.76,1024.165556
Kerala,2021,1,Others,95819,63530974.16,663.0310707
Kerala,2021,2,Peer-to-peer payments,17026648,58152644526,3415.390071
Kerala,2021,2,Merchant payments,16135060,11263178336,698.0561793
Kerala,2021,2,Recharge & bill payments,13809151,4645548910,336.4108995
Kerala,2021,2,Financial Services,88830,88370679.95,994.8292238
Kerala,2021,2,Others,131344,77063984.38,586.7339534
Ladakh,2018,1,Recharge & bill payments,3550,927250.7144,261.1973843
Ladakh,2018,1,Peer-to-peer payments,1752,10767804,6146.006849
Ladakh,2018,1,Merchant payments,320,369327.6256,1154.14883
Ladakh,2018,1,Financial Services,132,274283.1758,2077.902847
Ladakh,2018,1,Others,335,194192.2558,579.6783756
Ladakh,2018,2,Recharge & bill payments,8075,2417434.273,299.3726654
Ladakh,2018,2,Peer-to-peer payments,5667,42638443.12,7523.988551
Ladakh,2018,2,Merchant payments,724,1761366.296,2432.826376
Ladakh,2018,2,Financial Services,151,127324.628,843.2094568
Ladakh,2018,2,Others,393,390334.2205,993.216846
Ladakh,2018,3,Recharge & bill payments,13136,4676712.344,356.0225597
Ladakh,2018,3,Peer-to-peer payments,10133,77085890.57,7607.410498
Ladakh,2018,3,Merchant payments,1168,2016579.251,1726.523331
Ladakh,2018,3,Financial Services,84,69317.12288,825.2038438
Ladakh,2018,3,Others,343,242477.8533,706.9325169
Ladakh,2018,4,Recharge & bill payments,16650,5701932.895,342.4584322
Ladakh,2018,4,Peer-to-peer payments,15939,123611779.6,7755.303318
Ladakh,2018,4,Merchant payments,1881,5082666.821,2702.108889
Ladakh,2018,4,Financial Services,142,94604.73392,666.2305206
Ladakh,2018,4,Others,599,1031858.453,1722.635147
Ladakh,2019,1,Peer-to-peer payments,22076,139715922.2,6328.8604
Ladakh,2019,1,Recharge & bill payments,20014,7186109.182,359.0541212
Ladakh,2019,1,Merchant payments,3238,4967122.5,1534.009419
Ladakh,2019,1,Financial Services,114,111851.0286,981.1493734
Ladakh,2019,1,Others,703,878916.0496,1250.236201
Ladakh,2019,2,Peer-to-peer payments,34202,240305709.9,7026.071865
Ladakh,2019,2,Recharge & bill payments,25357,10116773.37,398.9735918
Ladakh,2019,2,Merchant payments,8220,7726519.368,939.9658598
Ladakh,2019,2,Financial Services,86,113767.0977,1322.873229
Ladakh,2019,2,Others,907,992737.2376,1094.528377
Ladakh,2019,3,Peer-to-peer payments,43198,303596367.7,7028.019068
Ladakh,2019,3,Recharge & bill payments,41491,18054746.12,435.148493
Ladakh,2019,3,Merchant payments,6963,8096082.971,1162.729136
Ladakh,2019,3,Financial Services,48,148633.2947,3096.526973
Ladakh,2019,3,Others,696,1233697.127,1772.553343
Ladakh,2019,4,Peer-to-peer payments,42095,298044908.5,7080.292398
Ladakh,2019,4,Recharge & bill payments,35467,16510212.1,465.509124
Ladakh,2019,4,Merchant payments,6522,8717893.9,1336.690264
Ladakh,2019,4,Financial Services,46,162760.6325,3538.274621
Ladakh,2019,4,Others,576,1253584.887,2176.362652
Ladakh,2020,1,Peer-to-peer payments,51560,339551900.4,6585.568277
Ladakh,2020,1,Recharge & bill payments,49801,23010664.72,462.0522624
Ladakh,2020,1,Merchant payments,14264,13338124.27,935.0900359
Ladakh,2020,1,Financial Services,204,583108.9455,2858.377184
Ladakh,2020,1,Others,590,1155879.121,1959.117154
Ladakh,2020,2,Recharge & bill payments,70601,32087339.27,454.4884529
Ladakh,2020,2,Peer-to-peer payments,68450,470749365.1,6877.273413
Ladakh,2020,2,Merchant payments,15132,19679330.19,1300.51085
Ladakh,2020,2,Financial Services,337,786069.1631,2332.549445
Ladakh,2020,2,Others,490,490894.9382,1001.826404
Ladakh,2020,3,Peer-to-peer payments,108345,751333715.3,6934.641334
Ladakh,2020,3,Recharge & bill payments,81623,40380074.55,494.7144132
Ladakh,2020,3,Merchant payments,36861,40538778.76,1099.774253
Ladakh,2020,3,Financial Services,621,2334917.783,3759.932018
Ladakh,2020,3,Others,772,900013.6787,1165.820827
Ladakh,2020,4,Peer-to-peer payments,151582,985814864.3,6503.508757
Ladakh,2020,4,Recharge & bill payments,94133,44185250.86,469.3917209
Ladakh,2020,4,Merchant payments,83868,77511378.31,924.2068287
Ladakh,2020,4,Financial Services,729,1965054.59,2695.548134
Ladakh,2020,4,Others,1822,2486922.404,1364.940946
Ladakh,2021,1,Peer-to-peer payments,141894,869999786.2,6131.33597
Ladakh,2021,1,Recharge & bill payments,72719,35459532.41,487.6240379
Ladakh,2021,1,Merchant payments,58875,74977913.47,1273.510208
Ladakh,2021,1,Financial Services,629,1455016.148,2313.221221
Ladakh,2021,1,Others,1298,1527565.063,1176.860603
Ladakh,2021,2,Peer-to-peer payments,209818,1259044412,6000.650146
Ladakh,2021,2,Recharge & bill payments,95458,44754721.83,468.842023
Ladakh,2021,2,Merchant payments,92078,119608470,1298.990747
Ladakh,2021,2,Financial Services,755,1756762.147,2326.837281
Ladakh,2021,2,Others,1607,2094729.018,1303.502811
Lakshadweep,2018,1,Peer-to-peer payments,423,1860278.278,4397.820989
Lakshadweep,2018,1,Recharge & bill payments,342,61432.04939,179.6258754
Lakshadweep,2018,1,Merchant payments,5,590.7505138,118.1501028
Lakshadweep,2018,1,Others,8,6310.102519,788.7628149
Lakshadweep,2018,2,Peer-to-peer payments,1315,5757123.08,4378.040365
Lakshadweep,2018,2,Recharge & bill payments,750,353202.7989,470.9370651
Lakshadweep,2018,2,Merchant payments,42,64568.47789,1537.344712
Lakshadweep,2018,2,Financial Services,6,9134.413223,1522.402204
Lakshadweep,2018,2,Others,19,3780.769514,198.9878692
Lakshadweep,2018,3,Peer-to-peer payments,841,3926048.745,4668.310041
Lakshadweep,2018,3,Recharge & bill payments,760,300978.3242,396.0241108
Lakshadweep,2018,3,Merchant payments,87,94046.43333,1080.993487
Lakshadweep,2018,3,Others,15,17958.80957,1197.253971
Lakshadweep,2018,4,Recharge & bill payments,792,351201.0879,443.435717
Lakshadweep,2018,4,Peer-to-peer payments,689,3841230.431,5575.080451
Lakshadweep,2018,4,Merchant payments,144,262079.8557,1819.998998
Lakshadweep,2018,4,Financial Services,6,389.8932324,64.9822054
Lakshadweep,2018,4,Others,11,8312.430483,755.6754985
Lakshadweep,2019,1,Peer-to-peer payments,1183,8221402.369,6949.621613
Lakshadweep,2019,1,Recharge & bill payments,1173,353870.524,301.6799011
Lakshadweep,2019,1,Merchant payments,113,183062.1456,1620.018988
Lakshadweep,2019,1,Others,12,27795.44122,2316.286768
Lakshadweep,2019,2,Recharge & bill payments,1448,436735.1685,301.6126854
Lakshadweep,2019,2,Peer-to-peer payments,1318,8602732.118,6527.110863
Lakshadweep,2019,2,Merchant payments,137,190716.5412,1392.091541
Lakshadweep,2019,2,Others,23,12340.30958,536.5351993
Lakshadweep,2019,3,Recharge & bill payments,1528,503049.2412,329.2207076
Lakshadweep,2019,3,Peer-to-peer payments,1455,8923273.863,6132.83427
Lakshadweep,2019,3,Merchant payments,111,215159.6812,1938.375506
Lakshadweep,2019,3,Others,10,10278.67843,1027.867843
Lakshadweep,2019,4,Recharge & bill payments,1801,618155.9005,343.2292618
Lakshadweep,2019,4,Peer-to-peer payments,1753,10383413.25,5923.224898
Lakshadweep,2019,4,Merchant payments,188,211413.6224,1124.540545
Lakshadweep,2019,4,Financial Services,2,34.39721182,17.19860591
Lakshadweep,2019,4,Others,21,56896.23813,2709.344673
Lakshadweep,2020,1,Recharge & bill payments,2684,789255.2646,294.0593385
Lakshadweep,2020,1,Peer-to-peer payments,2068,12463327.26,6026.753995
Lakshadweep,2020,1,Merchant payments,387,216594.0308,559.6744981
Lakshadweep,2020,1,Others,12,33192.01728,2766.00144
Lakshadweep,2020,2,Recharge & bill payments,4497,1061694.139,236.0894237
Lakshadweep,2020,2,Peer-to-peer payments,2176,14718605.19,6764.064885
Lakshadweep,2020,2,Merchant payments,472,971609.4584,2058.494615
Lakshadweep,2020,2,Financial Services,60,158593.597,2643.226617
Lakshadweep,2020,2,Others,15,32419.70309,2161.31354
Lakshadweep,2020,3,Recharge & bill payments,4696,1186947.554,252.7571452
Lakshadweep,2020,3,Peer-to-peer payments,2946,19189391.62,6513.710665
Lakshadweep,2020,3,Merchant payments,903,842981.1695,933.533964
Lakshadweep,2020,3,Financial Services,27,45457.5097,1683.61147
Lakshadweep,2020,3,Others,17,42055.45695,2473.850409
Lakshadweep,2020,4,Recharge & bill payments,5187,1499298.113,289.0491831
Lakshadweep,2020,4,Peer-to-peer payments,4741,27284123.25,5754.930024
Lakshadweep,2020,4,Merchant payments,1668,1227101.638,735.6724448
Lakshadweep,2020,4,Financial Services,22,13968.754,634.9433635
Lakshadweep,2020,4,Others,32,86826.16676,2713.317711
Lakshadweep,2021,1,Peer-to-peer payments,3942,24823715.02,6297.238716
Lakshadweep,2021,1,Recharge & bill payments,3541,1070209.422,302.233669
Lakshadweep,2021,1,Merchant payments,1537,1040213.795,676.7819098
Lakshadweep,2021,1,Financial Services,19,15929.09511,838.3734266
Lakshadweep,2021,1,Others,46,92715.58431,2015.556181
Lakshadweep,2021,2,Recharge & bill payments,5499,1745295.828,317.3842204
Lakshadweep,2021,2,Peer-to-peer payments,4069,23996417.49,5897.374661
Lakshadweep,2021,2,Merchant payments,1743,1525331.915,875.1187118
Lakshadweep,2021,2,Financial Services,29,15052.0185,519.0351206
Lakshadweep,2021,2,Others,44,101366.4031,2303.781888
Madhya Pradesh,2018,1,Recharge & bill payments,4404190,667057311.5,151.4597035
Madhya Pradesh,2018,1,Peer-to-peer payments,2848290,7590790589,2665.034315
Madhya Pradesh,2018,1,Financial Services,230519,43374288.98,188.1592796
Madhya Pradesh,2018,1,Merchant payments,196394,170119673.7,866.2162475
Madhya Pradesh,2018,1,Others,346002,210261540.7,607.6888016
Madhya Pradesh,2018,2,Recharge & bill payments,5324535,1132090446,212.6177114
Madhya Pradesh,2018,2,Peer-to-peer payments,4269392,14155603482,3315.601726
Madhya Pradesh,2018,2,Merchant payments,397135,339308203.2,854.3900769
Madhya Pradesh,2018,2,Financial Services,305553,53860331.81,176.2716511
Madhya Pradesh,2018,2,Others,264797,243218603.3,918.5096633
Madhya Pradesh,2018,3,Peer-to-peer payments,9988509,22057686209,2208.306185
Madhya Pradesh,2018,3,Recharge & bill payments,5733261,1367773857,238.5682174
Madhya Pradesh,2018,3,Merchant payments,784995,465390819.6,592.8583234
Madhya Pradesh,2018,3,Financial Services,359440,46120458.64,128.3119815
Madhya Pradesh,2018,3,Others,260780,212770861.2,815.901761
Madhya Pradesh,2018,4,Peer-to-peer payments,11456555,30897348665,2696.914445
Madhya Pradesh,2018,4,Recharge & bill payments,7273502,1669345517,229.51056
Madhya Pradesh,2018,4,Merchant payments,2056426,1036249754,503.9081173
Madhya Pradesh,2018,4,Financial Services,313540,43367243.15,138.3148662
Madhya Pradesh,2018,4,Others,297532,259296894,871.4924581
Madhya Pradesh,2019,1,Peer-to-peer payments,23708825,44114206183,1860.666068
Madhya Pradesh,2019,1,Recharge & bill payments,9966905,2423593842,243.1641359
Madhya Pradesh,2019,1,Merchant payments,3018928,1263699222,418.5920374
Madhya Pradesh,2019,1,Financial Services,290838,28901169.29,99.37205349
Madhya Pradesh,2019,1,Others,315553,239879105.6,760.1864207
Madhya Pradesh,2019,2,Peer-to-peer payments,20868744,61758841794,2959.394288
Madhya Pradesh,2019,2,Recharge & bill payments,12044969,3571897178,296.5468137
Madhya Pradesh,2019,2,Merchant payments,7331352,2671155681,364.3469419
Madhya Pradesh,2019,2,Financial Services,149197,18869661.51,126.4748052
Madhya Pradesh,2019,2,Others,451751,313802065.4,694.6350211
Madhya Pradesh,2019,3,Peer-to-peer payments,22631038,67648107703,2989.173882
Madhya Pradesh,2019,3,Merchant payments,17163551,5147459307,299.90643
Madhya Pradesh,2019,3,Recharge & bill payments,13156616,4576521609,347.8494477
Madhya Pradesh,2019,3,Financial Services,192821,25654168.6,133.0465489
Madhya Pradesh,2019,3,Others,466385,278578703,597.3148859
Madhya Pradesh,2019,4,Peer-to-peer payments,32083162,92064471162,2869.557282
Madhya Pradesh,2019,4,Merchant payments,19447707,7304157802,375.5793833
Madhya Pradesh,2019,4,Recharge & bill payments,16081734,5104821721,317.4298071
Madhya Pradesh,2019,4,Financial Services,127116,24020060.93,188.9617431
Madhya Pradesh,2019,4,Others,392270,190456045.3,485.5228422
Madhya Pradesh,2020,1,Peer-to-peer payments,34540722,1.10326E+11,3194.084698
Madhya Pradesh,2020,1,Merchant payments,24618074,9898242848,402.0721868
Madhya Pradesh,2020,1,Recharge & bill payments,19788516,6311610610,318.9532055
Madhya Pradesh,2020,1,Financial Services,68055,30645714.4,450.3080509
Madhya Pradesh,2020,1,Others,351379,170790656.3,486.0582343
Madhya Pradesh,2020,2,Peer-to-peer payments,34860958,1.28185E+11,3677.027288
Madhya Pradesh,2020,2,Recharge & bill payments,27497528,8904067957,323.8133972
Madhya Pradesh,2020,2,Merchant payments,13685723,10666223054,779.3686204
Madhya Pradesh,2020,2,Financial Services,80988,62073621.44,766.4545543
Madhya Pradesh,2020,2,Others,215376,104956802.2,487.3189314
Madhya Pradesh,2020,3,Peer-to-peer payments,50871564,1.74979E+11,3439.622675
Madhya Pradesh,2020,3,Merchant payments,31879804,20621273982,646.8444405
Madhya Pradesh,2020,3,Recharge & bill payments,25380467,9834190567,387.4708281
Madhya Pradesh,2020,3,Financial Services,131725,122971108.1,933.5441873
Madhya Pradesh,2020,3,Others,316321,144259293.3,456.0534815
Madhya Pradesh,2020,4,Peer-to-peer payments,67972167,2.35584E+11,3465.892177
Madhya Pradesh,2020,4,Merchant payments,57707471,37315576877,646.6333775
Madhya Pradesh,2020,4,Recharge & bill payments,27335834,10977774483,401.5891552
Madhya Pradesh,2020,4,Financial Services,149532,132590450.1,886.7028467
Madhya Pradesh,2020,4,Others,487537,264996097.6,543.5404853
Madhya Pradesh,2021,1,Merchant payments,84812245,50098244500,590.6958895
Madhya Pradesh,2021,1,Peer-to-peer payments,84070625,2.79938E+11,3329.797664
Madhya Pradesh,2021,1,Recharge & bill payments,32500681,13060914041,401.8658576
