State,Year,Quarter,District,Code,Transactions,Amount (INR),ATV (INR),Registered Users,App Opens
Arunachal Pradesh,2020,4,Lower Siang,AR12,14782,33891568.65,2292.759345,3320,54476
Arunachal Pradesh,2020,4,Lower Subansiri,AR13,31411,97681186.9,3109.776413,7388,124398
Arunachal Pradesh,2020,4,Namsai,AR14,46762,111916731.5,2393.326451,9437,177437
Arunachal Pradesh,2020,4,Pakke Kessang,AR15,3064,7503555.504,2448.941091,593,11458
Arunachal Pradesh,2020,4,Papum Pare,AR16,390528,1205917754,3087.916241,77936,1397025
Arunachal Pradesh,2020,4,Shi Yomi,AR17,1103,6627025.636,6008.182807,370,5847
Arunachal Pradesh,2020,4,Siang,AR18,12962,32619173.24,2516.523163,2635,48090
Arunachal Pradesh,2020,4,Tawang,AR19,67262,240482254.6,3575.306333,10909,249095
Arunachal Pradesh,2020,4,Tirap,AR20,36124,104709589.7,2898.615592,6805,134124
Arunachal Pradesh,2020,4,Upper Siang,AR22,19943,78146755.89,3918.505535,3497,80140
Arunachal Pradesh,2020,4,Upper Subansiri,AR23,31426,109405900.8,3481.381684,6069,125505
Arunachal Pradesh,2020,4,West Kameng,AR24,129575,390436113.7,3013.205585,19464,455337
Arunachal Pradesh,2020,4,West Siang,AR25,45207,125118193,2767.672994,9911,180696
Arunachal Pradesh,2021,1,Anjaw,AR01,12823,38844865.55,3029.311827,2660,55283
Arunachal Pradesh,2021,1,Changlang,AR02,78849,220167765.5,2792.270866,19716,344148
Arunachal Pradesh,2021,1,Dibang Valley,AR21,1930,7949867.974,4119.102577,478,9538
Arunachal Pradesh,2021,1,East Kameng,AR03,16281,77915774.21,4785.687256,3990,69455
Arunachal Pradesh,2021,1,East Siang,AR04,82357,253988360.8,3083.992384,19342,363085
Arunachal Pradesh,2021,1,Kamle,AR05,3092,11023767.7,3565.254755,814,16142
Arunachal Pradesh,2021,1,Kra Daadi,AR06,6393,24326518.99,3805.180508,1244,30137
Arunachal Pradesh,2021,1,Kurung Kumey,AR07,4962,22483754.8,4531.187989,1287,25911
Arunachal Pradesh,2021,1,Lepa Rada,AR08,15690,52794992.78,3364.88163,3008,68424
Arunachal Pradesh,2021,1,Lohit,AR09,72380,198534806.9,2742.951187,14231,295880
Arunachal Pradesh,2021,1,Longding,AR10,23962,75573420.97,3153.886194,4117,92482
Arunachal Pradesh,2021,1,Lower Dibang Valley,AR11,32427,90709108.52,2797.332733,8402,145425
Arunachal Pradesh,2021,1,Lower Siang,AR12,13231,37929392.8,2866.706432,3594,61226
Arunachal Pradesh,2021,1,Lower Subansiri,AR13,29916,106591163,3563.015208,8044,136547
Arunachal Pradesh,2021,1,Namsai,AR14,45753,116637630.7,2549.289242,10242,200584
Arunachal Pradesh,2021,1,Pakke Kessang,AR15,3563,8146941.792,2286.539936,647,14995
Arunachal Pradesh,2021,1,Papum Pare,AR16,419891,1388723427,3307.342683,84715,1553363
Arunachal Pradesh,2021,1,Shi Yomi,AR17,1251,6905518.173,5519.99854,390,7228
Arunachal Pradesh,2021,1,Siang,AR18,13679,42644184.41,3117.492829,2878,56271
Arunachal Pradesh,2021,1,Tawang,AR19,54137,207859088.4,3839.501421,11778,230123
Arunachal Pradesh,2021,1,Tirap,AR20,32043,110593517.1,3451.409579,7376,136247
Arunachal Pradesh,2021,1,Upper Siang,AR22,21312,73026286.55,3426.533716,3847,87503
Arunachal Pradesh,2021,1,Upper Subansiri,AR23,28053,116973014.5,4169.714985,6577,122422
